date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:51:56	337660/337660	---M--	200	added ('OK')	image/jpeg	etag:%22569c8e34-526fc%22	http://seiya.wanmei.com/resources/jpg/160118/10151453100478266.jpg	E:/Site-Chaos/SSO-Chaos/seiya.wanmei.com/resources/jpg/160118/10151453100478266.jpg	(from http://seiya.wanmei.com/news/gamenews/20160118/179427.shtml)
14:51:59	262737/262737	---M--	200	added ('OK')	image/jpeg	etag:%22569c8e34-40251%22	http://seiya.wanmei.com/resources/jpg/160118/10151453100478648.jpg	E:/Site-Chaos/SSO-Chaos/seiya.wanmei.com/resources/jpg/160118/10151453100478648.jpg	(from http://seiya.wanmei.com/news/gamenews/20160118/179427.shtml)
14:51:59	252309/252309	---M--	200	added ('OK')	image/jpeg	etag:%2256989c55-3d995%22	http://seiya.wanmei.com/resources/jpg/160115/10151452841960634.jpg	E:/Site-Chaos/SSO-Chaos/seiya.wanmei.com/resources/jpg/160115/10151452841960634.jpg	(from http://seiya.wanmei.com/news/gamenews/20160115/179415.shtml)
14:52:32	256146/256146	---M--	200	added ('OK')	image/jpeg	etag:%2256989c57-3e892%22	http://seiya.wanmei.com/resources/jpg/160115/10151452841962276.jpg	E:/Site-Chaos/SSO-Chaos/seiya.wanmei.com/resources/jpg/160115/10151452841962276.jpg	(from http://seiya.wanmei.com/news/gamenews/20160115/179415.shtml)
14:52:33	247183/247183	---M--	200	added ('OK')	image/jpeg	etag:%2256989c58-3c58f%22	http://seiya.wanmei.com/resources/jpg/160115/10151452841962679.jpg	E:/Site-Chaos/SSO-Chaos/seiya.wanmei.com/resources/jpg/160115/10151452841962679.jpg	(from http://seiya.wanmei.com/news/gamenews/20160115/179415.shtml)
14:52:39	383640/383640	---M--	200	added ('OK')	image/jpeg	etag:%2256989c56-5da98%22	http://seiya.wanmei.com/resources/jpg/160115/10151452841961682.jpg	E:/Site-Chaos/SSO-Chaos/seiya.wanmei.com/resources/jpg/160115/10151452841961682.jpg	(from http://seiya.wanmei.com/news/gamenews/20160115/179415.shtml)
14:53:17	337660/337660	---M--	200	added ('OK')	image/jpeg	etag:%2256978499-526fc%22	http://seiya.wanmei.com/resources/jpg/160114/10151452770349005.jpg	E:/Site-Chaos/SSO-Chaos/seiya.wanmei.com/resources/jpg/160114/10151452770349005.jpg	(from http://seiya.wanmei.com/news/gamenews/20160114/179397.shtml)
14:53:18	335955/335955	---M--	200	added ('OK')	image/jpeg	etag:%225697849a-52053%22	http://seiya.wanmei.com/resources/jpg/160114/10151452770349552.jpg	E:/Site-Chaos/SSO-Chaos/seiya.wanmei.com/resources/jpg/160114/10151452770349552.jpg	(from http://seiya.wanmei.com/news/gamenews/20160114/179397.shtml)
14:53:27	342902/342902	---M--	200	added ('OK')	image/jpeg	etag:%225697849a-53b76%22	http://seiya.wanmei.com/resources/jpg/160114/10151452770350136.jpg	E:/Site-Chaos/SSO-Chaos/seiya.wanmei.com/resources/jpg/160114/10151452770350136.jpg	(from http://seiya.wanmei.com/news/gamenews/20160114/179397.shtml)
14:53:56	304808/304808	---M--	200	added ('OK')	image/jpeg	etag:%225697849b-4a6a8%22	http://seiya.wanmei.com/resources/jpg/160114/10151452770350722.jpg	E:/Site-Chaos/SSO-Chaos/seiya.wanmei.com/resources/jpg/160114/10151452770350722.jpg	(from http://seiya.wanmei.com/news/gamenews/20160114/179397.shtml)
14:54:06	304808/304808	---M--	200	added ('OK')	image/jpeg	etag:%2256960aa7-4a6a8%22	http://seiya.wanmei.com/resources/jpg/160113/10151452673593392.jpg	E:/Site-Chaos/SSO-Chaos/seiya.wanmei.com/resources/jpg/160113/10151452673593392.jpg	(from http://seiya.wanmei.com/news/gamenews/20160113/179366.shtml)
14:54:08	311029/311029	---M--	200	added ('OK')	image/jpeg	etag:%2256960aa7-4bef5%22	http://seiya.wanmei.com/resources/jpg/160113/10151452673593888.jpg	E:/Site-Chaos/SSO-Chaos/seiya.wanmei.com/resources/jpg/160113/10151452673593888.jpg	(from http://seiya.wanmei.com/news/gamenews/20160113/179366.shtml)
14:54:09	19373/19373	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Jun%202025%2017:54:09%20GMT	http://seiya.wanmei.com/news/gamenews/20160112/179341.shtml	E:/Site-Chaos/SSO-Chaos/seiya.wanmei.com/news/gamenews/20160112/179341.html	(from http://seiya.wanmei.com/news/gamenews/index5.htm)
14:54:21	335955/335955	---M--	200	added ('OK')	image/jpeg	etag:%2256960aa7-52053%22	http://seiya.wanmei.com/resources/jpg/160113/10151452673594387.jpg	E:/Site-Chaos/SSO-Chaos/seiya.wanmei.com/resources/jpg/160113/10151452673594387.jpg	(from http://seiya.wanmei.com/news/gamenews/20160113/179366.shtml)
14:54:40	225659/225659	---M--	200	added ('OK')	image/jpeg	etag:%22569355ec-3717b%22	http://seiya.wanmei.com/resources/jpg/160111/10151452496258261.jpg	E:/Site-Chaos/SSO-Chaos/seiya.wanmei.com/resources/jpg/160111/10151452496258261.jpg	(from http://seiya.wanmei.com/news/gamenews/20160111/179321.shtml)
14:54:43	337660/337660	---M--	200	added ('OK')	image/jpeg	etag:%2256960aa8-526fc%22	http://seiya.wanmei.com/resources/jpg/160113/10151452673594973.jpg	E:/Site-Chaos/SSO-Chaos/seiya.wanmei.com/resources/jpg/160113/10151452673594973.jpg	(from http://seiya.wanmei.com/news/gamenews/20160113/179366.shtml)
14:54:58	383640/383640	---M--	200	added ('OK')	image/jpeg	etag:%22569355eb-5da98%22	http://seiya.wanmei.com/resources/jpg/160111/10151452496256831.jpg	E:/Site-Chaos/SSO-Chaos/seiya.wanmei.com/resources/jpg/160111/10151452496256831.jpg	(from http://seiya.wanmei.com/news/gamenews/20160111/179321.shtml)
14:55:22	310187/310187	---M--	200	added ('OK')	image/jpeg	etag:%22568f853a-4bbab%22	http://seiya.wanmei.com/resources/jpg/160108/10151452246233198.jpg	E:/Site-Chaos/SSO-Chaos/seiya.wanmei.com/resources/jpg/160108/10151452246233198.jpg	(from http://seiya.wanmei.com/news/gamenews/20160108/179303.shtml)
14:55:24	363243/363243	---M--	200	added ('OK')	image/jpeg	etag:%22569355ed-58aeb%22	http://seiya.wanmei.com/resources/jpg/160111/10151452496259036.jpg	E:/Site-Chaos/SSO-Chaos/seiya.wanmei.com/resources/jpg/160111/10151452496259036.jpg	(from http://seiya.wanmei.com/news/gamenews/20160111/179321.shtml)
14:55:38	342902/342902	---M--	200	added ('OK')	image/jpeg	etag:%22568f853c-53b76%22	http://seiya.wanmei.com/resources/jpg/160108/10151452246234363.jpg	E:/Site-Chaos/SSO-Chaos/seiya.wanmei.com/resources/jpg/160108/10151452246234363.jpg	(from http://seiya.wanmei.com/news/gamenews/20160108/179303.shtml)
14:56:08	321239/321239	---M--	200	added ('OK')	image/jpeg	etag:%22568e32ff-4e6d7%22	http://seiya.wanmei.com/resources/jpg/160107/10151452159646909.jpg	E:/Site-Chaos/SSO-Chaos/seiya.wanmei.com/resources/jpg/160107/10151452159646909.jpg	(from http://seiya.wanmei.com/news/gamenews/20160107/179277.shtml)
14:56:18	651343/651343	---M--	200	added ('OK')	image/jpeg	etag:%22568f853f-9f04f%22	http://seiya.wanmei.com/resources/jpg/160108/10151452246234998.jpg	E:/Site-Chaos/SSO-Chaos/seiya.wanmei.com/resources/jpg/160108/10151452246234998.jpg	(from http://seiya.wanmei.com/news/gamenews/20160108/179303.shtml)
14:56:50	383640/383640	---M--	200	added ('OK')	image/jpeg	etag:%22568e32ff-5da98%22	http://seiya.wanmei.com/resources/jpg/160107/10151452159647456.jpg	E:/Site-Chaos/SSO-Chaos/seiya.wanmei.com/resources/jpg/160107/10151452159647456.jpg	(from http://seiya.wanmei.com/news/gamenews/20160107/179277.shtml)
14:56:57	337660/337660	---M--	200	added ('OK')	image/jpeg	etag:%22568e3300-526fc%22	http://seiya.wanmei.com/resources/jpg/160107/10151452159648115.jpg	E:/Site-Chaos/SSO-Chaos/seiya.wanmei.com/resources/jpg/160107/10151452159648115.jpg	(from http://seiya.wanmei.com/news/gamenews/20160107/179277.shtml)
14:57:00	335955/335955	---M--	200	added ('OK')	image/jpeg	etag:%22568e3301-52053%22	http://seiya.wanmei.com/resources/jpg/160107/10151452159648740.jpg	E:/Site-Chaos/SSO-Chaos/seiya.wanmei.com/resources/jpg/160107/10151452159648740.jpg	(from http://seiya.wanmei.com/news/gamenews/20160107/179277.shtml)
14:57:22	242995/242995	---M--	200	added ('OK')	image/jpeg	etag:%22568b7be3-3b533%22	http://seiya.wanmei.com/resources/jpg/160105/10151451981701590.jpg	E:/Site-Chaos/SSO-Chaos/seiya.wanmei.com/resources/jpg/160105/10151451981701590.jpg	(from http://seiya.wanmei.com/news/gamenews/20160105/179200.shtml)
14:57:24	337660/337660	---M--	200	added ('OK')	image/jpeg	etag:%22568ccedd-526fc%22	http://seiya.wanmei.com/resources/jpg/160106/10151452068475318.jpg	E:/Site-Chaos/SSO-Chaos/seiya.wanmei.com/resources/jpg/160106/10151452068475318.jpg	(from http://seiya.wanmei.com/news/gamenews/index5.htm)
14:58:10	321239/321239	---M--	200	added ('OK')	image/jpeg	etag:%22568b7be4-4e6d7%22	http://seiya.wanmei.com/resources/jpg/160105/10151451981702403.jpg	E:/Site-Chaos/SSO-Chaos/seiya.wanmei.com/resources/jpg/160105/10151451981702403.jpg	(from http://seiya.wanmei.com/news/gamenews/20160105/179200.shtml)
14:58:16	366086/366086	---M--	200	added ('OK')	image/jpeg	etag:%22568b7be4-59606%22	http://seiya.wanmei.com/resources/jpg/160105/10151451981702912.jpg	E:/Site-Chaos/SSO-Chaos/seiya.wanmei.com/resources/jpg/160105/10151451981702912.jpg	(from http://seiya.wanmei.com/news/gamenews/20160105/179200.shtml)
14:58:40	342902/342902	---M--	200	added ('OK')	image/jpeg	etag:%22568b7be5-53b76%22	http://seiya.wanmei.com/resources/jpg/160105/10151451981703392.jpg	E:/Site-Chaos/SSO-Chaos/seiya.wanmei.com/resources/jpg/160105/10151451981703392.jpg	(from http://seiya.wanmei.com/news/gamenews/20160105/179200.shtml)
14:58:48	366086/366086	---M--	200	added ('OK')	image/jpeg	etag:%225684dd8a-59606%22	http://seiya.wanmei.com/resources/jpg/151231/10151451547953304.jpg	E:/Site-Chaos/SSO-Chaos/seiya.wanmei.com/resources/jpg/151231/10151451547953304.jpg	(from http://seiya.wanmei.com/news/gamenews/20151231/179161.shtml)
14:59:07	256146/256146	---M--	200	added ('OK')	image/jpeg	etag:%225684dd8a-3e892%22	http://seiya.wanmei.com/resources/jpg/151231/10151451547953904.jpg	E:/Site-Chaos/SSO-Chaos/seiya.wanmei.com/resources/jpg/151231/10151451547953904.jpg	(from http://seiya.wanmei.com/news/gamenews/20151231/179161.shtml)
14:59:21	227663/227663	---M--	200	added ('OK')	image/jpeg	etag:%225684dd8b-3794f%22	http://seiya.wanmei.com/resources/jpg/151231/10151451547954772.jpg	E:/Site-Chaos/SSO-Chaos/seiya.wanmei.com/resources/jpg/151231/10151451547954772.jpg	(from http://seiya.wanmei.com/news/gamenews/20151231/179161.shtml)
14:59:21	268088/268088	---M--	200	added ('OK')	image/jpeg	etag:%225684dd8b-41738%22	http://seiya.wanmei.com/resources/jpg/151231/10151451547954321.jpg	E:/Site-Chaos/SSO-Chaos/seiya.wanmei.com/resources/jpg/151231/10151451547954321.jpg	(from http://seiya.wanmei.com/news/gamenews/20151231/179161.shtml)
14:59:34	212452/212452	---M--	200	added ('OK')	image/jpeg	etag:%225684dd8b-33de4%22	http://seiya.wanmei.com/resources/jpg/151231/10151451547955154.jpg	E:/Site-Chaos/SSO-Chaos/seiya.wanmei.com/resources/jpg/151231/10151451547955154.jpg	(from http://seiya.wanmei.com/news/gamenews/20151231/179161.shtml)
15:00:01	252309/252309	---M--	200	added ('OK')	image/jpeg	etag:%225684c78c-3d995%22	http://seiya.wanmei.com/resources/jpg/151231/10151451542324260.jpg	E:/Site-Chaos/SSO-Chaos/seiya.wanmei.com/resources/jpg/151231/10151451542324260.jpg	(from http://seiya.wanmei.com/news/gamenews/20151231/179157.shtml)
15:00:12	304808/304808	---M--	200	added ('OK')	image/jpeg	etag:%225684c79b-4a6a8%22	http://seiya.wanmei.com/resources/jpg/151231/10151451542342994.jpg	E:/Site-Chaos/SSO-Chaos/seiya.wanmei.com/resources/jpg/151231/10151451542342994.jpg	(from http://seiya.wanmei.com/news/gamenews/20151231/179157.shtml)
15:00:16	337660/337660	---M--	200	added ('OK')	image/jpeg	etag:%225684c79a-526fc%22	http://seiya.wanmei.com/resources/jpg/151231/10151451542342569.jpg	E:/Site-Chaos/SSO-Chaos/seiya.wanmei.com/resources/jpg/151231/10151451542342569.jpg	(from http://seiya.wanmei.com/news/gamenews/20151231/179157.shtml)
